,deltaI score,deltaR score
Decision Tree spec points,0.9969867237727437,0.9933453337819593
Random Forest spec points,0.9996586325091456,0.9991059897105011
AdaBoost spec points,0.9998506878924877,0.9993597552199854
Gradient Boosting spec points,0.9979383244587869,0.9964334091329059
Independent Random Forests spec points,0.9998922643238969,0.9994900720908516
