Experiment	bias spectroscopy	
Date	26.08.2016 14:49:02	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4586E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-500.000E-3	-999.444E-12	4.22534E-12	-1.00222E-9	4.28466E-12
-498.000E-3	-997.904E-12	4.25380E-12	-1.00020E-9	4.46679E-12
-496.000E-3	-995.075E-12	4.39572E-12	-998.169E-12	4.50666E-12
-494.000E-3	-993.301E-12	4.54727E-12	-996.355E-12	4.65402E-12
-492.000E-3	-991.089E-12	4.83758E-12	-994.215E-12	4.75975E-12
-490.000E-3	-989.562E-12	4.86830E-12	-992.714E-12	4.98301E-12
-488.000E-3	-987.347E-12	5.17059E-12	-990.452E-12	5.18853E-12
-486.000E-3	-985.366E-12	5.28075E-12	-988.920E-12	5.39494E-12
-484.000E-3	-983.416E-12	5.40272E-12	-986.220E-12	5.54185E-12
-482.000E-3	-981.085E-12	5.71442E-12	-983.872E-12	5.66899E-12
-480.000E-3	-979.043E-12	5.75443E-12	-981.117E-12	5.76305E-12
-478.000E-3	-976.497E-12	6.06157E-12	-978.874E-12	6.26537E-12
-476.000E-3	-973.959E-12	6.29404E-12	-976.155E-12	6.33129E-12
-474.000E-3	-971.306E-12	6.24001E-12	-974.075E-12	6.36401E-12
-472.000E-3	-968.279E-12	6.44958E-12	-971.137E-12	6.61807E-12
-470.000E-3	-965.648E-12	6.56742E-12	-968.599E-12	6.75745E-12
-468.000E-3	-962.266E-12	6.83208E-12	-965.457E-12	6.75941E-12
-466.000E-3	-959.642E-12	6.91744E-12	-961.946E-12	6.87606E-12
-464.000E-3	-956.251E-12	6.98686E-12	-958.710E-12	7.08014E-12
-462.000E-3	-953.520E-12	7.14685E-12	-955.182E-12	7.15567E-12
-460.000E-3	-949.727E-12	7.46554E-12	-952.486E-12	7.46746E-12
-458.000E-3	-946.646E-12	7.57228E-12	-948.693E-12	7.47198E-12
-456.000E-3	-943.072E-12	7.79369E-12	-945.798E-12	7.85296E-12
-454.000E-3	-939.511E-12	8.01218E-12	-942.062E-12	8.17255E-12
-452.000E-3	-935.918E-12	8.44307E-12	-939.263E-12	8.31804E-12
-450.000E-3	-932.216E-12	8.69815E-12	-935.264E-12	8.79421E-12
-448.000E-3	-928.914E-12	9.22491E-12	-931.675E-12	9.24564E-12
-446.000E-3	-925.022E-12	9.75512E-12	-927.476E-12	9.80600E-12
-444.000E-3	-921.574E-12	10.3437E-12	-923.718E-12	10.2322E-12
-442.000E-3	-916.897E-12	10.7805E-12	-918.547E-12	11.0344E-12
-440.000E-3	-912.591E-12	11.5749E-12	-914.959E-12	11.6649E-12
-438.000E-3	-906.819E-12	12.1999E-12	-909.545E-12	12.2889E-12
-436.000E-3	-901.964E-12	12.4856E-12	-905.311E-12	12.4534E-12
-434.000E-3	-895.699E-12	12.6165E-12	-899.511E-12	12.6981E-12
-432.000E-3	-891.244E-12	12.6042E-12	-894.634E-12	12.5182E-12
-430.000E-3	-885.289E-12	12.2662E-12	-888.231E-12	12.3463E-12
-428.000E-3	-880.966E-12	11.8121E-12	-883.495E-12	11.8035E-12
-426.000E-3	-874.865E-12	11.1315E-12	-878.097E-12	11.2838E-12
-424.000E-3	-871.598E-12	10.5365E-12	-874.009E-12	10.5297E-12
-422.000E-3	-866.096E-12	9.89391E-12	-869.150E-12	10.0640E-12
-420.000E-3	-863.308E-12	9.31731E-12	-865.231E-12	9.24136E-12
-418.000E-3	-858.443E-12	8.78452E-12	-861.038E-12	8.79265E-12
-416.000E-3	-856.209E-12	8.47400E-12	-857.433E-12	8.36647E-12
-414.000E-3	-851.281E-12	8.06501E-12	-853.584E-12	8.02185E-12
-412.000E-3	-849.116E-12	7.64745E-12	-850.239E-12	7.58979E-12
-410.000E-3	-844.725E-12	7.47866E-12	-846.786E-12	7.41115E-12
-408.000E-3	-842.540E-12	7.21388E-12	-844.048E-12	7.17855E-12
-406.000E-3	-838.752E-12	7.08073E-12	-840.620E-12	7.14699E-12
-404.000E-3	-836.646E-12	7.06712E-12	-838.459E-12	7.03313E-12
-402.000E-3	-832.933E-12	7.01405E-12	-835.346E-12	7.03719E-12
-400.000E-3	-830.278E-12	6.90402E-12	-833.323E-12	6.97445E-12
-398.000E-3	-826.746E-12	6.89917E-12	-829.642E-12	6.91636E-12
-396.000E-3	-824.147E-12	7.07609E-12	-826.984E-12	7.05076E-12
-394.000E-3	-820.432E-12	7.16132E-12	-823.325E-12	7.21092E-12
-392.000E-3	-818.114E-12	7.40730E-12	-820.622E-12	7.45109E-12
-390.000E-3	-814.531E-12	7.82000E-12	-816.884E-12	7.73670E-12
-388.000E-3	-811.927E-12	7.95529E-12	-813.976E-12	8.08846E-12
-386.000E-3	-808.176E-12	8.43579E-12	-809.906E-12	8.47251E-12
-384.000E-3	-804.792E-12	9.05867E-12	-806.852E-12	9.13393E-12
-382.000E-3	-800.212E-12	9.82501E-12	-802.162E-12	9.90522E-12
-380.000E-3	-796.092E-12	10.5323E-12	-798.028E-12	10.5160E-12
-378.000E-3	-790.911E-12	11.5295E-12	-792.534E-12	11.3928E-12
-376.000E-3	-785.675E-12	12.5314E-12	-787.674E-12	12.4736E-12
-374.000E-3	-779.780E-12	13.8550E-12	-781.652E-12	13.6818E-12
-372.000E-3	-773.926E-12	14.9319E-12	-775.965E-12	14.9852E-12
-370.000E-3	-767.350E-12	16.2606E-12	-768.698E-12	16.3091E-12
-368.000E-3	-760.459E-12	17.3629E-12	-762.595E-12	17.5355E-12
-366.000E-3	-752.778E-12	18.2335E-12	-754.610E-12	18.4855E-12
-364.000E-3	-745.094E-12	18.6564E-12	-747.681E-12	18.8146E-12
-362.000E-3	-737.486E-12	18.7713E-12	-739.106E-12	18.7493E-12
-360.000E-3	-729.821E-12	18.5940E-12	-731.770E-12	18.5544E-12
-358.000E-3	-722.232E-12	17.9578E-12	-723.585E-12	18.0459E-12
-356.000E-3	-715.284E-12	17.0539E-12	-716.786E-12	17.0979E-12
-354.000E-3	-707.927E-12	15.9865E-12	-709.524E-12	15.9910E-12
-352.000E-3	-701.607E-12	14.6877E-12	-703.571E-12	14.9347E-12
-350.000E-3	-695.155E-12	13.5880E-12	-697.631E-12	13.7118E-12
-348.000E-3	-690.168E-12	12.4954E-12	-692.458E-12	12.4966E-12
-346.000E-3	-684.642E-12	11.4871E-12	-686.669E-12	11.6108E-12
-344.000E-3	-680.215E-12	10.8089E-12	-682.096E-12	10.6220E-12
-342.000E-3	-675.243E-12	10.2120E-12	-677.193E-12	10.1720E-12
-340.000E-3	-671.217E-12	9.55619E-12	-672.768E-12	9.55803E-12
-338.000E-3	-666.882E-12	9.06330E-12	-668.397E-12	9.05857E-12
-336.000E-3	-663.472E-12	8.63856E-12	-664.961E-12	8.70970E-12
-334.000E-3	-659.327E-12	8.24593E-12	-660.934E-12	8.28657E-12
-332.000E-3	-656.444E-12	7.78890E-12	-657.717E-12	7.78905E-12
