Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4676E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-352.000E-3	-702.163E-12	14.7633E-12	-704.223E-12	14.9318E-12
-350.000E-3	-695.831E-12	13.7111E-12	-698.914E-12	13.6780E-12
-348.000E-3	-690.104E-12	12.4071E-12	-692.993E-12	12.6397E-12
-346.000E-3	-684.449E-12	11.4234E-12	-688.313E-12	11.6208E-12
-344.000E-3	-680.152E-12	10.7144E-12	-683.398E-12	10.7760E-12
-342.000E-3	-675.493E-12	10.1506E-12	-678.985E-12	10.0860E-12
-340.000E-3	-672.199E-12	9.51999E-12	-674.524E-12	9.59072E-12
-338.000E-3	-667.623E-12	9.10730E-12	-670.791E-12	9.02119E-12
-336.000E-3	-664.526E-12	8.58971E-12	-666.782E-12	8.63618E-12
-334.000E-3	-660.401E-12	8.28747E-12	-663.476E-12	8.18061E-12
-332.000E-3	-657.271E-12	7.85903E-12	-659.634E-12	7.93990E-12
-330.000E-3	-653.471E-12	7.60692E-12	-656.716E-12	7.66158E-12
-328.000E-3	-650.625E-12	7.35456E-12	-653.048E-12	7.43525E-12
-326.000E-3	-647.476E-12	7.14369E-12	-650.093E-12	7.28031E-12
-324.000E-3	-644.674E-12	7.03664E-12	-646.686E-12	7.01467E-12
-322.000E-3	-641.888E-12	6.90983E-12	-644.045E-12	7.05894E-12
-320.000E-3	-639.251E-12	6.76738E-12	-640.898E-12	6.88183E-12
-318.000E-3	-636.283E-12	6.76217E-12	-638.193E-12	6.77448E-12
-316.000E-3	-633.126E-12	6.70559E-12	-635.232E-12	6.58735E-12
-314.000E-3	-630.004E-12	6.67775E-12	-632.539E-12	6.72005E-12
-312.000E-3	-626.918E-12	6.65043E-12	-629.748E-12	6.60573E-12
-310.000E-3	-623.902E-12	6.77900E-12	-626.798E-12	6.75522E-12
-308.000E-3	-621.114E-12	6.63481E-12	-624.121E-12	6.73454E-12
-306.000E-3	-618.321E-12	6.62701E-12	-621.313E-12	6.66611E-12
-304.000E-3	-615.587E-12	6.70615E-12	-618.301E-12	6.70271E-12
-302.000E-3	-612.579E-12	6.74002E-12	-615.439E-12	6.71830E-12
-300.000E-3	-609.761E-12	6.59427E-12	-612.505E-12	6.72941E-12
-298.000E-3	-606.891E-12	6.72518E-12	-610.155E-12	6.65625E-12
-296.000E-3	-604.319E-12	6.64815E-12	-606.809E-12	6.78356E-12
-294.000E-3	-601.375E-12	6.69991E-12	-604.580E-12	6.68097E-12
-292.000E-3	-598.645E-12	6.61257E-12	-600.841E-12	6.79166E-12
-290.000E-3	-595.841E-12	6.73952E-12	-598.602E-12	6.79379E-12
-288.000E-3	-593.298E-12	6.75641E-12	-594.653E-12	6.84254E-12
-286.000E-3	-590.444E-12	6.77562E-12	-592.646E-12	6.91120E-12
-284.000E-3	-587.893E-12	6.92529E-12	-589.044E-12	6.89259E-12
-282.000E-3	-584.306E-12	7.05773E-12	-586.631E-12	7.11053E-12
-280.000E-3	-581.448E-12	7.37810E-12	-582.764E-12	7.29898E-12
-278.000E-3	-577.780E-12	7.48879E-12	-580.131E-12	7.54964E-12
-276.000E-3	-574.838E-12	7.70320E-12	-576.452E-12	7.70228E-12
-274.000E-3	-570.915E-12	8.00231E-12	-573.269E-12	8.22297E-12
-272.000E-3	-567.706E-12	8.25839E-12	-569.960E-12	8.37051E-12
-270.000E-3	-563.683E-12	8.90489E-12	-566.426E-12	8.89391E-12
-268.000E-3	-560.320E-12	9.38491E-12	-562.292E-12	9.43582E-12
-266.000E-3	-556.017E-12	10.1134E-12	-558.207E-12	10.1256E-12
