Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4847E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-500.000E-3	-1.00216E-9	4.37001E-12	-1.01913E-9	4.09512E-12
-495.000E-3	-996.575E-12	4.63778E-12	-1.01553E-9	4.42281E-12
-490.000E-3	-994.714E-12	5.09593E-12	-1.00976E-9	5.11708E-12
-485.000E-3	-985.795E-12	5.29263E-12	-1.00598E-9	5.31758E-12
-480.000E-3	-978.966E-12	6.10020E-12	-998.183E-12	6.40993E-12
-475.000E-3	-973.240E-12	6.90192E-12	-990.346E-12	6.67061E-12
-470.000E-3	-964.873E-12	6.83415E-12	-984.627E-12	7.09770E-12
-465.000E-3	-958.246E-12	7.02080E-12	-975.682E-12	7.15077E-12
-460.000E-3	-950.306E-12	6.86462E-12	-970.195E-12	7.34760E-12
-455.000E-3	-943.536E-12	7.98847E-12	-961.174E-12	8.50160E-12
-450.000E-3	-934.246E-12	8.53027E-12	-951.283E-12	8.93503E-12
-445.000E-3	-923.982E-12	10.1834E-12	-941.772E-12	10.3207E-12
-440.000E-3	-912.541E-12	11.1852E-12	-927.927E-12	11.3021E-12
-435.000E-3	-898.471E-12	12.5664E-12	-916.504E-12	12.9132E-12
-430.000E-3	-885.597E-12	12.0649E-12	-901.698E-12	12.7407E-12
-425.000E-3	-875.171E-12	10.7645E-12	-890.883E-12	11.0847E-12
-420.000E-3	-865.452E-12	9.24250E-12	-880.375E-12	9.07751E-12
-415.000E-3	-858.259E-12	8.51842E-12	-871.725E-12	8.21659E-12
-410.000E-3	-847.383E-12	7.48278E-12	-864.834E-12	7.96855E-12
-405.000E-3	-839.073E-12	6.93199E-12	-854.789E-12	7.47011E-12
-400.000E-3	-833.245E-12	7.64884E-12	-845.870E-12	7.15296E-12
-395.000E-3	-823.497E-12	6.97009E-12	-836.833E-12	6.66538E-12
-390.000E-3	-819.552E-12	8.12321E-12	-830.790E-12	7.39667E-12
-385.000E-3	-806.956E-12	8.77997E-12	-820.486E-12	8.96406E-12
-380.000E-3	-798.665E-12	10.6532E-12	-810.785E-12	11.0833E-12
-375.000E-3	-784.577E-12	13.0780E-12	-797.354E-12	13.2335E-12
-370.000E-3	-768.528E-12	16.1663E-12	-784.403E-12	16.1809E-12
-365.000E-3	-750.259E-12	18.2193E-12	-763.901E-12	18.8156E-12
-360.000E-3	-726.446E-12	18.0256E-12	-744.992E-12	18.8830E-12
-355.000E-3	-712.276E-12	16.5570E-12	-722.719E-12	16.8742E-12
-350.000E-3	-695.862E-12	13.3542E-12	-707.054E-12	13.8208E-12
-345.000E-3	-686.300E-12	11.0556E-12	-694.870E-12	11.3352E-12
-340.000E-3	-674.163E-12	9.32809E-12	-683.252E-12	9.29605E-12
-335.000E-3	-663.873E-12	8.32043E-12	-674.567E-12	8.61304E-12
-330.000E-3	-653.378E-12	7.23974E-12	-664.806E-12	8.17903E-12
-325.000E-3	-648.114E-12	7.11864E-12	-657.809E-12	7.09041E-12
-320.000E-3	-641.674E-12	6.81634E-12	-649.694E-12	7.02688E-12
-315.000E-3	-633.889E-12	6.68046E-12	-643.069E-12	6.91445E-12
-310.000E-3	-627.165E-12	6.56452E-12	-636.505E-12	6.86458E-12
-305.000E-3	-618.405E-12	6.90570E-12	-627.981E-12	6.92329E-12
-300.000E-3	-611.500E-12	6.54192E-12	-622.104E-12	6.94553E-12
-295.000E-3	-604.072E-12	6.66837E-12	-613.598E-12	6.54746E-12
-290.000E-3	-598.402E-12	6.68655E-12	-607.862E-12	6.98159E-12
-285.000E-3	-589.277E-12	6.99340E-12	-599.289E-12	7.12901E-12
-280.000E-3	-581.716E-12	7.35747E-12	-590.894E-12	7.35779E-12
-275.000E-3	-573.974E-12	8.13667E-12	-582.566E-12	8.14599E-12
-270.000E-3	-564.463E-12	8.47707E-12	-573.294E-12	9.07545E-12
-265.000E-3	-555.530E-12	10.2896E-12	-564.267E-12	10.7810E-12
-260.000E-3	-541.767E-12	12.6508E-12	-550.864E-12	12.9474E-12
-255.000E-3	-527.884E-12	15.3054E-12	-536.660E-12	15.3500E-12
-250.000E-3	-510.222E-12	17.9812E-12	-516.827E-12	18.1721E-12
-245.000E-3	-492.240E-12	18.9469E-12	-497.640E-12	19.2844E-12
-240.000E-3	-472.391E-12	18.5289E-12	-476.913E-12	18.5962E-12
-235.000E-3	-453.232E-12	16.5626E-12	-458.276E-12	16.8405E-12
-230.000E-3	-437.670E-12	13.7560E-12	-442.737E-12	14.3439E-12
-225.000E-3	-424.285E-12	11.7904E-12	-428.990E-12	11.8989E-12
-220.000E-3	-413.479E-12	9.72921E-12	-418.964E-12	9.56679E-12
-215.000E-3	-402.722E-12	8.13676E-12	-408.674E-12	8.53977E-12
-210.000E-3	-393.698E-12	7.65272E-12	-400.790E-12	7.72515E-12
-205.000E-3	-385.746E-12	7.34853E-12	-390.616E-12	7.03463E-12
-200.000E-3	-378.058E-12	7.33958E-12	-384.539E-12	7.22595E-12
-195.000E-3	-371.181E-12	7.25885E-12	-375.443E-12	7.20074E-12
-190.000E-3	-363.364E-12	7.52423E-12	-368.908E-12	7.74600E-12
-185.000E-3	-355.397E-12	7.74141E-12	-360.033E-12	7.92821E-12
-180.000E-3	-346.938E-12	8.00849E-12	-350.436E-12	7.90517E-12
-175.000E-3	-338.576E-12	7.99967E-12	-341.601E-12	7.95227E-12
-170.000E-3	-329.327E-12	8.29451E-12	-332.448E-12	8.21940E-12
-165.000E-3	-320.986E-12	7.79684E-12	-325.088E-12	7.85820E-12
-160.000E-3	-312.225E-12	7.29094E-12	-316.652E-12	7.10322E-12
-155.000E-3	-306.743E-12	7.13125E-12	-309.756E-12	7.13299E-12
-150.000E-3	-299.451E-12	6.62176E-12	-302.764E-12	6.60969E-12
-145.000E-3	-293.785E-12	6.18742E-12	-295.897E-12	6.27719E-12
