Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4847E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-140.000E-3	-286.279E-12	6.35663E-12	-290.246E-12	6.39943E-12
-135.000E-3	-279.406E-12	6.56725E-12	-282.344E-12	6.17085E-12
-130.000E-3	-272.529E-12	6.41554E-12	-275.487E-12	6.36737E-12
-125.000E-3	-265.277E-12	6.64401E-12	-267.824E-12	6.70155E-12
-120.000E-3	-258.830E-12	7.13557E-12	-260.200E-12	6.86040E-12
-115.000E-3	-250.288E-12	7.29642E-12	-254.042E-12	7.73870E-12
-110.000E-3	-242.754E-12	7.91643E-12	-246.050E-12	8.01906E-12
-105.000E-3	-232.719E-12	8.74217E-12	-236.898E-12	8.88380E-12
-100.000E-3	-222.880E-12	9.87062E-12	-225.475E-12	10.0008E-12
-95.0000E-3	-212.109E-12	11.4188E-12	-215.065E-12	11.0735E-12
-90.0000E-3	-199.220E-12	13.3289E-12	-200.841E-12	13.3228E-12
-85.0000E-3	-184.613E-12	15.1075E-12	-186.689E-12	15.4176E-12
-80.0000E-3	-167.800E-12	16.4377E-12	-169.129E-12	16.7452E-12
-75.0000E-3	-150.001E-12	17.3270E-12	-151.680E-12	17.4908E-12
-70.0000E-3	-132.623E-12	16.8109E-12	-133.244E-12	17.4137E-12
-65.0000E-3	-115.051E-12	15.4790E-12	-116.244E-12	15.8041E-12
-60.0000E-3	-99.8553E-12	13.6178E-12	-100.398E-12	13.7940E-12
-55.0000E-3	-85.5115E-12	11.9405E-12	-86.9386E-12	11.9635E-12
-50.0000E-3	-73.8344E-12	10.7270E-12	-74.7655E-12	11.0358E-12
-45.0000E-3	-63.0772E-12	9.61069E-12	-64.0685E-12	9.30799E-12
-40.0000E-3	-54.0015E-12	8.85106E-12	-54.4821E-12	8.83664E-12
-35.0000E-3	-44.6829E-12	7.51969E-12	-45.8519E-12	7.98101E-12
-30.0000E-3	-36.9461E-12	7.53826E-12	-37.2670E-12	7.37048E-12
-25.0000E-3	-29.1528E-12	6.93930E-12	-29.7517E-12	7.08870E-12
-20.0000E-3	-22.5723E-12	6.89772E-12	-22.1370E-12	6.92963E-12
-15.0000E-3	-14.9004E-12	6.45403E-12	-15.1718E-12	6.51491E-12
-10.0000E-3	-8.22586E-12	6.25081E-12	-8.23578E-12	6.50035E-12
-5.00000E-3	-1.22330E-12	6.47446E-12	-1.30341E-12	6.35987E-12
0.00000E+0	5.59525E-12	6.61625E-12	5.89478E-12	6.48081E-12
5.00000E-3	13.4312E-12	7.51730E-12	13.2973E-12	7.38036E-12
10.0000E-3	21.4638E-12	8.16602E-12	21.6251E-12	7.74913E-12
15.0000E-3	30.0951E-12	8.62507E-12	30.1183E-12	8.66919E-12
20.0000E-3	39.3771E-12	8.74966E-12	39.8022E-12	9.01626E-12
25.0000E-3	48.9287E-12	8.73385E-12	48.9798E-12	8.80971E-12
30.0000E-3	58.0473E-12	8.83109E-12	58.7709E-12	8.65690E-12
35.0000E-3	67.1121E-12	8.19094E-12	67.7074E-12	8.44079E-12
40.0000E-3	75.5270E-12	8.21018E-12	76.4757E-12	8.08662E-12
45.0000E-3	83.7677E-12	7.65969E-12	84.7008E-12	7.71365E-12
50.0000E-3	91.8332E-12	7.19056E-12	92.4733E-12	6.99843E-12
55.0000E-3	99.5000E-12	6.93775E-12	100.017E-12	7.26896E-12
60.0000E-3	106.371E-12	6.73847E-12	107.329E-12	6.98805E-12
65.0000E-3	113.725E-12	6.51728E-12	114.683E-12	6.70007E-12
70.0000E-3	120.487E-12	6.65041E-12	122.024E-12	6.89751E-12
75.0000E-3	128.013E-12	6.43512E-12	128.679E-12	6.59828E-12
80.0000E-3	134.734E-12	6.36154E-12	135.725E-12	6.55817E-12
85.0000E-3	142.113E-12	6.87757E-12	142.947E-12	6.84002E-12
90.0000E-3	149.534E-12	7.09533E-12	150.477E-12	7.16872E-12
95.0000E-3	157.561E-12	7.97506E-12	158.439E-12	7.29072E-12
100.000E-3	166.284E-12	8.04112E-12	166.642E-12	8.43342E-12
105.000E-3	175.164E-12	9.04596E-12	176.377E-12	8.90762E-12
110.000E-3	184.881E-12	9.61463E-12	186.206E-12	9.90060E-12
115.000E-3	195.503E-12	10.6497E-12	197.765E-12	10.5839E-12
120.000E-3	207.021E-12	11.2808E-12	208.197E-12	11.2897E-12
125.000E-3	218.658E-12	11.9305E-12	221.007E-12	11.9149E-12
130.000E-3	231.644E-12	12.2744E-12	233.810E-12	12.5612E-12
135.000E-3	244.717E-12	12.9430E-12	247.519E-12	12.5508E-12
140.000E-3	258.800E-12	12.5183E-12	260.763E-12	12.6625E-12
145.000E-3	270.249E-12	11.7868E-12	273.611E-12	11.7213E-12
150.000E-3	283.883E-12	10.9618E-12	285.389E-12	11.5367E-12
155.000E-3	294.936E-12	10.5565E-12	296.569E-12	10.4775E-12
160.000E-3	306.479E-12	10.1983E-12	308.154E-12	9.85766E-12
165.000E-3	316.202E-12	9.68259E-12	317.740E-12	9.72107E-12
170.000E-3	326.494E-12	9.09920E-12	328.040E-12	9.08420E-12
175.000E-3	335.654E-12	8.95524E-12	336.546E-12	8.62199E-12
180.000E-3	344.586E-12	8.33913E-12	345.920E-12	8.07171E-12
185.000E-3	353.727E-12	8.52729E-12	355.370E-12	8.54893E-12
190.000E-3	361.355E-12	8.20116E-12	363.395E-12	8.34191E-12
195.000E-3	370.816E-12	8.18868E-12	373.009E-12	7.96339E-12
200.000E-3	378.697E-12	7.94009E-12	381.230E-12	8.01433E-12
205.000E-3	388.491E-12	8.02364E-12	391.913E-12	8.17478E-12
210.000E-3	396.729E-12	7.83293E-12	399.250E-12	7.81065E-12
215.000E-3	404.377E-12	8.19145E-12	408.128E-12	8.34264E-12
220.000E-3	414.134E-12	8.44361E-12	415.928E-12	8.55909E-12
225.000E-3	422.022E-12	8.20877E-12	424.061E-12	8.30720E-12
230.000E-3	431.981E-12	8.24077E-12	434.231E-12	8.44758E-12
235.000E-3	439.645E-12	8.65891E-12	442.722E-12	8.03379E-12
240.000E-3	448.270E-12	8.14724E-12	452.415E-12	8.88772E-12
245.000E-3	456.972E-12	8.61063E-12	459.483E-12	8.49069E-12
250.000E-3	467.273E-12	8.64491E-12	469.795E-12	9.08219E-12
255.000E-3	476.341E-12	8.58906E-12	478.387E-12	8.57260E-12
260.000E-3	485.610E-12	8.45999E-12	487.470E-12	8.92498E-12
265.000E-3	494.527E-12	8.45265E-12	495.441E-12	8.27759E-12
270.000E-3	503.056E-12	8.36045E-12	503.234E-12	8.27081E-12
275.000E-3	512.455E-12	8.27940E-12	513.405E-12	8.14088E-12
280.000E-3	520.624E-12	8.43205E-12	521.646E-12	8.44940E-12
285.000E-3	529.638E-12	8.31165E-12	532.509E-12	8.19108E-12
290.000E-3	536.799E-12	8.34009E-12	539.864E-12	8.15394E-12
295.000E-3	544.746E-12	8.16986E-12	549.263E-12	7.91695E-12
300.000E-3	552.555E-12	8.07051E-12	556.322E-12	8.53280E-12
305.000E-3	563.066E-12	8.28136E-12	565.844E-12	7.96347E-12
310.000E-3	573.112E-12	8.00105E-12	576.166E-12	7.95157E-12
315.000E-3	579.828E-12	7.79368E-12	584.911E-12	8.59632E-12
320.000E-3	590.820E-12	7.94890E-12	593.585E-12	8.34999E-12
325.000E-3	597.220E-12	8.44895E-12	601.199E-12	8.30240E-12
330.000E-3	610.621E-12	8.55286E-12	610.101E-12	8.78601E-12
335.000E-3	617.307E-12	8.88715E-12	617.494E-12	8.74871E-12
340.000E-3	627.597E-12	8.66648E-12	628.077E-12	9.07400E-12
345.000E-3	637.333E-12	8.88004E-12	636.361E-12	8.79282E-12
350.000E-3	647.314E-12	9.21511E-12	649.257E-12	10.1396E-12
355.000E-3	659.693E-12	9.49696E-12	658.158E-12	9.60099E-12
360.000E-3	669.004E-12	10.0600E-12	669.159E-12	10.0071E-12
365.000E-3	679.333E-12	9.89872E-12	677.902E-12	9.64413E-12
370.000E-3	687.691E-12	9.78601E-12	688.282E-12	10.6773E-12
375.000E-3	698.569E-12	10.1570E-12	701.168E-12	10.7475E-12
380.000E-3	709.246E-12	10.5101E-12	711.142E-12	10.7340E-12
385.000E-3	720.938E-12	10.3734E-12	725.219E-12	10.9733E-12
390.000E-3	729.539E-12	9.88510E-12	734.983E-12	9.94018E-12
395.000E-3	742.645E-12	9.42029E-12	746.609E-12	9.53134E-12
400.000E-3	752.681E-12	9.47866E-12	754.706E-12	9.37940E-12
405.000E-3	764.224E-12	9.36710E-12	763.613E-12	9.03621E-12
410.000E-3	773.247E-12	9.46224E-12	776.189E-12	8.87997E-12
415.000E-3	781.271E-12	8.70342E-12	784.113E-12	9.33260E-12
420.000E-3	791.249E-12	9.08298E-12	795.020E-12	8.50668E-12
425.000E-3	801.209E-12	8.86732E-12	801.914E-12	9.24575E-12
430.000E-3	812.181E-12	8.73373E-12	812.021E-12	8.98041E-12
435.000E-3	820.883E-12	8.41207E-12	817.394E-12	8.73731E-12
440.000E-3	828.538E-12	8.39466E-12	827.698E-12	8.18066E-12
445.000E-3	836.506E-12	8.26982E-12	835.403E-12	8.32211E-12
450.000E-3	845.966E-12	8.05415E-12	846.706E-12	8.52322E-12
455.000E-3	857.195E-12	8.40235E-12	856.956E-12	8.18550E-12
460.000E-3	866.917E-12	8.28227E-12	865.744E-12	8.49019E-12
465.000E-3	876.982E-12	8.63873E-12	877.030E-12	8.86019E-12
470.000E-3	883.114E-12	8.27519E-12	881.229E-12	8.68864E-12
475.000E-3	893.091E-12	7.95808E-12	893.671E-12	8.28513E-12
480.000E-3	898.287E-12	8.13086E-12	897.160E-12	7.90452E-12
485.000E-3	907.823E-12	7.85776E-12	910.828E-12	8.17545E-12
490.000E-3	912.343E-12	8.01779E-12	917.808E-12	7.53739E-12
495.000E-3	921.766E-12	8.00492E-12	924.707E-12	8.08816E-12
500.000E-3	932.076E-12	7.84124E-12	933.780E-12	7.92673E-12
