0.81472,-0.14798,0.9254,5.527,3.6073,2.7934,2.0822,-0.33,-0.188,0.014,0.264,0.013442,0.027049,0.039017,0.047773,5.3064,3.2289,2.2541,1.3708
0.91338,-0.57749,0.91951,6.9182,4.4806,3.4147,2.49,-0.33,-0.184,0.02,0.272,0.010976,0.022376,0.033262,0.041401,6.7412,4.1692,2.9615,1.8492
0.2785,-0.71176,1.0915,12.863,8.3628,6.2103,4.2826,-0.362,-0.26,-0.112,0.074,0.0043833,0.0088181,0.014094,0.019757,12.769,8.1903,5.9527,3.9421
0.96489,-1.3232,1.0941,8.2317,5.2311,3.967,2.8809,-0.36,-0.256,-0.106,0.084,0.0067978,0.014092,0.021635,0.02916,8.0815,4.9645,3.5713,2.4095
0.95717,-0.80837,1.0601,7.6456,4.8266,3.6784,2.6796,-0.356,-0.246,-0.088,0.112,0.0075627,0.016079,0.024375,0.032524,7.4829,4.5388,3.256,2.1745
0.14189,-0.9083,1.0831,23.503,14.607,12.453,8.8273,-0.36,-0.254,-0.104,0.086,0.0026922,0.0053348,0.0073726,0.010146,23.454,14.52,12.326,8.6718
0.79221,-0.063629,1.0311,5.277,3.4684,2.7016,2.0212,-0.352,-0.234,-0.068,0.14,0.011472,0.022943,0.033208,0.04141,5.0473,3.0766,2.1462,1.2985
0.035712,-0.23699,1.0868,8.5337,4.361,2.7244,1.8355,-0.37,-0.274,-0.134,0.046,0.0060032,0.01504,0.027899,0.039757,8.3681,3.9965,2.1644,1.1204
0.67874,-0.38054,1.0486,6.002,3.979,3.0551,2.2453,-0.356,-0.244,-0.082,0.118,0.0096531,0.019416,0.028922,0.03801,5.8032,3.632,2.557,1.64
0.39223,-0.54117,0.93424,8.1033,5.2992,3.9542,2.7925,-0.336,-0.198,-0.002,0.24,0.0090046,0.018073,0.028027,0.036041,7.955,5.03,3.5587,2.1957
0.70605,-1.5208,0.95538,9.3039,5.7533,4.3583,3.1684,-0.336,-0.198,-0.006,0.232,0.0077586,0.016702,0.025385,0.032323,9.1686,5.5115,3.9955,2.636
0.046171,-1.4182,1.0647,16.93,13.326,10.175,8.1767,-0.356,-0.244,-0.084,0.114,0.0040279,0.0062956,0.0096825,0.011645,16.879,13.229,10.032,8.0304
0.69483,-1.0727,1.09,9.297,5.8461,4.4506,3.2267,-0.36,-0.256,-0.104,0.084,0.0061562,0.012756,0.019577,0.026359,9.1642,5.6085,4.0981,2.8007
